0	66	1
0	28	1
0	99	1
0	12	1
0	51	1
0	57	1
0	92	1
0	36	1
0	56	1
0	83	1
0	71	1
0	14	1
0	17	1
0	78	1
0	27	1
0	76	1
0	84	1
0	8	1
0	30	1
0	32	1
0	89	1
0	52	1
0	86	1
0	37	1
0	9	1
0	40	1
0	33	1
0	97	1
0	29	1
0	13	1
0	93	1
0	80	1
0	79	1
0	21	1
0	16	1
0	54	1
0	24	1
0	67	1
0	65	1
0	88	1
0	10	1
0	45	1
0	35	1
0	46	1
0	38	1
0	31	1
0	82	1
0	94	1
0	60	1
0	49	1
0	69	1
1	42	1
1	34	1
1	24	1
1	51	1
1	21	1
1	68	1
1	96	1
1	8	1
1	71	1
1	81	1
1	3	1
1	90	1
1	5	1
1	27	1
1	39	1
1	66	1
1	78	1
1	29	1
1	25	1
1	98	1
1	92	1
1	30	1
1	50	1
1	44	1
1	75	1
1	52	1
1	58	1
1	11	1
1	57	1
1	37	1
1	53	1
1	43	1
1	19	1
1	4	1
1	12	1
1	6	1
1	89	1
1	17	1
2	16	1
2	79	1
2	51	1
2	9	1
2	63	1
2	92	1
2	5	1
2	84	1
2	37	1
2	23	1
2	77	1
2	40	1
2	55	1
2	24	1
2	54	1
2	48	1
2	93	1
2	10	1
2	97	1
2	94	1
2	26	1
2	20	1
2	47	1
2	32	1
2	12	1
2	13	1
2	39	1
2	6	1
2	8	1
2	98	1
2	35	1
2	90	1
2	96	1
2	62	1
2	58	1
2	75	1
2	15	1
2	61	1
2	33	1
3	76	1
3	73	1
3	97	1
3	55	1
3	93	1
3	85	1
3	70	1
3	47	1
3	10	1
3	78	1
3	56	1
3	7	1
3	64	1
3	26	1
3	39	1
3	24	1
3	35	1
3	36	1
3	5	1
3	77	1
3	50	1
3	8	1
3	74	1
3	18	1
3	79	1
3	71	1
3	19	1
3	72	1
3	98	1
3	25	1
3	95	1
3	14	1
3	96	1
3	43	1
3	48	1
3	20	1
3	67	1
3	13	1
3	89	1
4	52	1
4	82	1
4	59	1
4	58	1
4	20	1
4	39	1
4	85	1
4	72	1
4	87	1
4	17	1
4	54	1
4	38	1
4	86	1
4	23	1
4	12	1
4	77	1
4	9	1
4	29	1
4	88	1
4	84	1
4	80	1
4	49	1
4	18	1
4	46	1
4	31	1
4	93	1
4	99	1
